Product Name,SKU,Variant Title,Flavor,Size,Price,Sale Price,Original Price,In Stock,Product URL
Clear Whey Isolate (Sample),12095874,Clear Whey Isolate (Sample) - 0.88Oz - Lemonade,Lemonade,0.88Oz,CA$5.99,,CA$5.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate-sample/12095872/
Clear Whey Isolate (Sample),12442633,Clear Whey Isolate (Sample) - 0.88Oz - Strawberry,Strawberry,0.88Oz,CA$5.99,,CA$5.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate-sample/12095872/
Clear Whey Isolate (Sample),12666335,Clear Whey Isolate (Sample) - 0.88Oz - Peach Mango,Peach Mango,0.88Oz,CA$5.99,,CA$5.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate-sample/12095872/
Clear Whey Isolate,12095869,Clear Whey Isolate - 1.1lb - Lemonade,Lemonade,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,12095870,Clear Whey Isolate - 1.1lb - Tropical Dragonfruit,Tropical Dragonfruit,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,12344671,Clear Whey Isolate - 1.1lb - Strawberry,Strawberry,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,12537903,Clear Whey Isolate - 1.9lb - Lemonade,Lemonade,1.9lb,CA$79.99,,CA$79.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,12537904,Clear Whey Isolate - 1.9lb - Strawberry,Strawberry,1.9lb,CA$79.99,,CA$79.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,12578991,Clear Whey Isolate - 1.1lb - Peach Mango,Peach Mango,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,12937445,Clear Whey Isolate - 1.1lb - Rocket Pop,Rocket Pop,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,13630083,Clear Whey Isolate - 1.1lb - Strawberry Kiwi,Strawberry Kiwi,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15301762,Clear Whey Isolate - 20servings - Blue Raspberry,Blue Raspberry,20servings,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15301763,Clear Whey Isolate - 20servings - Watermelon,Watermelon,20servings,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15821485,Clear Whey Isolate - 1.1lb - Yuzu,Yuzu,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15821486,Clear Whey Isolate - 1.1lb - Orange Cream,Orange Cream,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15821487,Clear Whey Isolate - 1.1lb - Fruit Punch,Fruit Punch,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15821488,Clear Whey Isolate - 1.1lb - Passionfruit,Passionfruit,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Clear Whey Isolate,15821489,Clear Whey Isolate - 1.1lb - Lemon Iced Tea,Lemon Iced Tea,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-isolate/12095867/
Collagen Protein,12020569,Collagen Protein - 0.55lb - Unflavored,Unflavored,0.55lb,CA$30.99,CA$30.99,CA$39.99,Yes,https://ca.myprotein.com/p/sports-nutrition/collagen-protein/11111072/
Collagen Protein,12020570,Collagen Protein - 1.1lb - Unflavored,Unflavored,1.1lb,CA$69.99,,CA$69.99,Yes,https://ca.myprotein.com/p/sports-nutrition/collagen-protein/11111072/
Collagen Protein,12147917,Collagen Protein - 0.55lb - Chocolate,Chocolate,0.55lb,CA$26.99,CA$26.99,CA$39.99,Yes,https://ca.myprotein.com/p/sports-nutrition/collagen-protein/11111072/
Collagen Protein,12147918,Collagen Protein - 1.1lb - Chocolate,Chocolate,1.1lb,CA$61.99,CA$61.99,CA$69.99,Yes,https://ca.myprotein.com/p/sports-nutrition/collagen-protein/11111072/
Clear Whey MIKE AND IKEÂ® Flavors (Sample),12758413,Clear Whey MIKE AND IKEÂ® Flavors (Sample) - 0.88Oz - Strawberry,Strawberry,0.88Oz,CA$4.99,,CA$4.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors-sample/12442631/
Clear Whey MIKE AND IKEÂ® Flavors (Sample),13190966,Clear Whey MIKE AND IKEÂ® Flavors (Sample) - 0.88Oz - Sour Watermelon,Sour Watermelon,0.88Oz,CA$5.99,,CA$5.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors-sample/12442631/
Clear Whey MIKE AND IKEÂ® Flavors (Sample),13190967,Clear Whey MIKE AND IKEÂ® Flavors (Sample) - 0.88Oz - Caribbean Punch,Caribbean Punch,0.88Oz,CA$5.99,,CA$5.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors-sample/12442631/
Clear Whey MIKE AND IKEÂ® Flavors,13190962,Clear Whey MIKE AND IKEÂ® Flavors - 1.1lb - Sour Watermelon,Sour Watermelon,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors/13121847/
Clear Whey MIKE AND IKEÂ® Flavors,13190965,Clear Whey MIKE AND IKEÂ® Flavors - 1.1lb - Caribbean Punch,Caribbean Punch,1.1lb,CA$54.99,,CA$54.99,Yes,https://ca.myprotein.com/p/sports-nutrition/clear-whey-mike-and-ike-flavors/13121847/
